model_version,all_rxns,flagged,dead-ends,dilution-blocked,duplicates,loops,redoxes
1.14,13024,4821,1029,1476,827,2499,31
1.16,13085,4541,1134,1249,822,2332,34
1.15,13073,4658,1085,1246,847,2504,34
1.12,13070,4898,1020,1493,914,2586,31
1.17,12969,4408,1140,1184,713,2227,34
1.13,13026,4821,1031,1474,827,2499,31
1.3,14770,5009,1111,1502,923,2596,31
1.0,15185,4763,855,1431,930,2619,31
1.7,13082,4592,1020,1049,923,2594,31
1.11,13069,4317,1021,593,916,2586,31
1.18,12995,4051,1123,567,706,2275,34
1.9,13081,4331,1020,607,924,2594,31
1.4,13096,4587,1047,961,923,2596,31
1.5,13096,4559,1047,771,923,2596,31
